;year;casualties;side_a;side_a_ids;side_b;side_b_ids;conflict;description;url
0;1989;4924;['Government of El Salvador'];[13];['Farabundo MartÃ­ National Liberation Front'];[755];Salvadoran Civil War;"The Salvadoran Civil War was a conflict between the military-led government of El Salvador and the Farabundo Martí National Liberation Front (FMLN), a coalition or ""umbrella organization"" of several left-wing groups.";https://en.wikipedia.org/wiki/Salvadoran_Civil_War
1;1990;1099;['Government of Peru'];[21];['Shining Path'];[750];Internal Conflict in Peru;The internal conflict in Peru, beginning in 1980, is an ongoing armed conflict between the government of Peru and some terrorist rganizations such as the insurgent People's Guerilla Army (Spanish: Ejército Guerrillero Popular), armed wing of the Communist Party of Peru (known as Shining Path) and the Tupac Amaru Revolutionary Movement which was also involved in the conflict from 1982 to 1997.;https://en.wikipedia.org/wiki/Internal_conflict_in_Peru
2;1991;1138;['Government of Peru'];[21];['Shining Path'];[750];Internal Conflict in Peru;The internal conflict in Peru, beginning in 1980, is an ongoing armed conflict between the government of Peru and some terrorist rganizations such as the insurgent People's Guerilla Army (Spanish: Ejército Guerrillero Popular), armed wing of the Communist Party of Peru (known as Shining Path) and the Tupac Amaru Revolutionary Movement which was also involved in the conflict from 1982 to 1997.;https://en.wikipedia.org/wiki/Internal_conflict_in_Peru
3;1992;1479;['Government of Colombia'];[17];['Revolutionary Armed Forces of Colombia'];[743];Colombian Conflict;The Colombian conflict began in the mid-1960s and is a low-intensity asymmetric war between Colombian governments, paramilitary groups, crime syndicates, and left-wing guerrillas such as the Revolutionary Armed Forces of Colombia (FARC), and the National Liberation Army (ELN), fighting each other to increase their influence in Colombian territory.;https://en.wikipedia.org/wiki/Colombian_conflict
4;1994;1132;['Government of Colombia'];[17];['Revolutionary Armed Forces of Colombia'];[743];Colombian Conflict;The Colombian conflict began in the mid-1960s and is a low-intensity asymmetric war between Colombian governments, paramilitary groups, crime syndicates, and left-wing guerrillas such as the Revolutionary Armed Forces of Colombia (FARC), and the National Liberation Army (ELN), fighting each other to increase their influence in Colombian territory.;https://en.wikipedia.org/wiki/Colombian_conflict
5;1996;1195;['Government of Colombia'];[17];['Revolutionary Armed Forces of Colombia'];[743];Colombian Conflict;The Colombian conflict began in the mid-1960s and is a low-intensity asymmetric war between Colombian governments, paramilitary groups, crime syndicates, and left-wing guerrillas such as the Revolutionary Armed Forces of Colombia (FARC), and the National Liberation Army (ELN), fighting each other to increase their influence in Colombian territory.;https://en.wikipedia.org/wiki/Colombian_conflict
6;1999;1375;['Government of Colombia'];[17];['Revolutionary Armed Forces of Colombia'];[743];Colombian Conflict;The Colombian conflict began in the mid-1960s and is a low-intensity asymmetric war between Colombian governments, paramilitary groups, crime syndicates, and left-wing guerrillas such as the Revolutionary Armed Forces of Colombia (FARC), and the National Liberation Army (ELN), fighting each other to increase their influence in Colombian territory.;https://en.wikipedia.org/wiki/Colombian_conflict
7;2000;1040;['Government of Colombia'];[17];['Revolutionary Armed Forces of Colombia'];[743];Colombian Conflict;The Colombian conflict began in the mid-1960s and is a low-intensity asymmetric war between Colombian governments, paramilitary groups, crime syndicates, and left-wing guerrillas such as the Revolutionary Armed Forces of Colombia (FARC), and the National Liberation Army (ELN), fighting each other to increase their influence in Colombian territory.;https://en.wikipedia.org/wiki/Colombian_conflict
8;2001;2753;['al-Qaeda'];[769];['Civilians'];[1];9/11 Terror Attacks;The September 11 attacks (also referred to as 9/11) were a series of four coordinated terrorist attacks by the Islamic terrorist group al-Qaeda on the United States on the morning of Tuesday, September 11, 2001. The attacks killed 2,996 people, injured over 6,000 others, and caused at least $10 billion in infrastructure and property damage.;https://en.wikipedia.org/wiki/September_11_attacks
9;2002;2268;['Government of Colombia'];[17];['Revolutionary Armed Forces of Colombia'];[743];Colombian Conflict;The Colombian conflict began in the mid-1960s and is a low-intensity asymmetric war between Colombian governments, paramilitary groups, crime syndicates, and left-wing guerrillas such as the Revolutionary Armed Forces of Colombia (FARC), and the National Liberation Army (ELN), fighting each other to increase their influence in Colombian territory.;https://en.wikipedia.org/wiki/Colombian_conflict
