,year,casualties,side_a,side_b,conflict,description,url
0,1989,3393,Government of Afghanistan,Hizb-i Islami-yi Afghanistan,Conflict name,description,https://wikipedia.com
1,1990,3561,Government of Sri Lanka,LTTE,Conflict name,description,https://wikipedia.com
2,1991,6432,Government of Sri Lanka,LTTE,Conflict name,description,https://wikipedia.com
3,1992,4091,Government of Sri Lanka,LTTE,Conflict name,description,https://wikipedia.com
4,1993,3160,Government of Afghanistan,Hizb-i Islami-yi Afghanistan,Conflict name,description,https://wikipedia.com
5,1994,8077,Government of Afghanistan,Junbish-i Milli-yi Islami,Conflict name,description,https://wikipedia.com
6,1995,4755,Government of Sri Lanka,LTTE,Conflict name,description,https://wikipedia.com
7,1996,3868,Government of Sri Lanka,LTTE,Conflict name,description,https://wikipedia.com
8,1997,6396,Government of Afghanistan,UIFSA,Conflict name,description,https://wikipedia.com
9,1998,6256,Government of Afghanistan,UIFSA,Conflict name,description,https://wikipedia.com
10,1999,4629,Government of Afghanistan,UIFSA,Conflict name,description,https://wikipedia.com
11,2000,5235,Government of Afghanistan,UIFSA,Conflict name,description,https://wikipedia.com
12,2001,2328,Government of Afghanistan,UIFSA,Conflict name,description,https://wikipedia.com
13,2002,3947,Government of Nepal,CPN-M,Conflict name,description,https://wikipedia.com
14,2003,1341,Government of Nepal,CPN-M,Conflict name,description,https://wikipedia.com
15,2004,1880,Government of Nepal,CPN-M,Conflict name,description,https://wikipedia.com
16,2005,1628,Government of Afghanistan,Taleban,Conflict name,description,https://wikipedia.com
17,2006,4694,Government of Afghanistan,Taleban,Conflict name,description,https://wikipedia.com
18,2007,6843,Government of Afghanistan,Taleban,Conflict name,description,https://wikipedia.com
19,2008,8262,Government of Sri Lanka,LTTE,Conflict name,description,https://wikipedia.com
20,2009,10165,Government of Sri Lanka,LTTE,Conflict name,description,https://wikipedia.com
21,2010,6931,Government of Afghanistan,Taleban,Conflict name,description,https://wikipedia.com
22,2011,7376,Government of Afghanistan,Taleban,Conflict name,description,https://wikipedia.com
23,2012,7728,Government of Afghanistan,Taleban,Conflict name,description,https://wikipedia.com
24,2013,8013,Government of Afghanistan,Taleban,Conflict name,description,https://wikipedia.com
25,2014,12346,Government of Afghanistan,Taleban,Conflict name,description,https://wikipedia.com
26,2015,16581,Government of Afghanistan,Taleban,Conflict name,description,https://wikipedia.com
27,2016,15778,Government of Afghanistan,Taleban,Conflict name,description,https://wikipedia.com
