,year,casualties,side_a,side_b,conflict,description,url
0,1990,1058,Government of Iraq,Government of Kuwait,Conflict name,description,https://wikipedia.com
1,1991,21789,Government of Iraq,Government of Kuwait,Conflict name,description,https://wikipedia.com
2,1992,1518,Government of Turkey,PKK,Conflict name,description,https://wikipedia.com
3,1993,2117,Government of Turkey,PKK,Conflict name,description,https://wikipedia.com
4,1994,3980,Government of Turkey,PKK,Conflict name,description,https://wikipedia.com
5,1995,3076,Government of Turkey,PKK,Conflict name,description,https://wikipedia.com
6,1996,3419,Government of Turkey,PKK,Conflict name,description,https://wikipedia.com
7,1997,4183,Government of Turkey,PKK,Conflict name,description,https://wikipedia.com
8,1998,1952,Government of Turkey,PKK,Conflict name,description,https://wikipedia.com
9,1999,1390,Government of Turkey,PKK,Conflict name,description,https://wikipedia.com
10,2003,7927,"Government of Australia, Government of United Kingdom, Government of United States of America",Government of Iraq,Conflict name,description,https://wikipedia.com
11,2004,2422,Government of Iraq,IS,Conflict name,description,https://wikipedia.com
12,2005,2208,Government of Iraq,IS,Conflict name,description,https://wikipedia.com
13,2006,3743,Government of Iraq,IS,Conflict name,description,https://wikipedia.com
14,2007,1991,IS,Civilians,Conflict name,description,https://wikipedia.com
15,2008,1246,Government of Iraq,IS,Conflict name,description,https://wikipedia.com
16,2009,1036,Government of Iraq,IS,Conflict name,description,https://wikipedia.com
17,2010,1015,Government of Iraq,IS,Conflict name,description,https://wikipedia.com
18,2011,1140,Government of Yemen (North Yemen),AQAP,Conflict name,description,https://wikipedia.com
19,2012,2330,Government of Yemen (North Yemen),AQAP,Conflict name,description,https://wikipedia.com
20,2013,2115,IS,Civilians,Conflict name,description,https://wikipedia.com
21,2014,12149,Government of Iraq,IS,Conflict name,description,https://wikipedia.com
22,2015,10123,Government of Iraq,IS,Conflict name,description,https://wikipedia.com
23,2016,8849,Government of Iraq,IS,Conflict name,description,https://wikipedia.com
