country;total;civilians
Afghanistan;180838;22770
Albania;6;2
Algeria;21061;2015
Angola;33152;4053
Argentina;0;0
Armenia;193;74
Azerbaijan;5523;396
Bahrain;26;26
Bangladesh;1318;583
Belgium;34;32
Bhutan;4;0
Bolivia;52;0
Bosnia-Herzegovina;26336;14492
Botswana;1;1
Brazil;771;157
Burkina Faso;25;0
Burundi;16590;8383
Cambodia (Kampuchea);5082;922
Cameroon;3113;774
Canada;93;1
Central African Republic;8067;4985
Chad;9744;2352
China;2919;2683
Colombia;27429;6155
Comoros;125;3
Congo;15652;1641
Croatia;1478;251
DR Congo (Zaire);101986;68438
Djibouti;446;7
Ecuador;64;0
Egypt;2775;641
El Salvador;5864;116
Eritrea;19154;139
Ethiopia;176871;3912
France;234;229
Georgia;3427;509
Germany;20;14
Ghana;2434;9
Guatemala;2801;2253
Guinea;1096;411
Guinea-Bissau;706;113
Guyana;29;20
Haiti;684;136
Honduras;236;46
India;54231;13114
Indonesia;8061;2425
Iran;1300;162
Iraq;106567;21946
Israel;7816;2213
Italy;0;0
Ivory Coast;2626;1381
Jamaica;144;1
Jordan;95;64
Kenya;5267;1053
Kuwait;1816;342
Kyrgyzstan;235;5
Laos;385;136
Lebanon;5645;1115
Lesotho;68;0
Liberia;23244;17853
Libya;7335;655
Macedonia, FYR;81;17
Madagascar (Malagasy);207;54
Malaysia;70;2
Mali;3715;1110
Malta;0;0
Mauritania;170;47
Mexico;19308;522
Moldova;585;24
Morocco;272;34
Mozambique;5849;1577
Myanmar (Burma);17061;4583
Namibia;74;11
Nepal;12356;2476
Netherlands;2;2
Nicaragua;565;136
Niger;1784;780
Nigeria;47601;15395
Pakistan;40122;5399
Panama;920;500
Papua New Guinea;583;112
Paraguay;150;0
Peru;7752;1020
Philippines;17120;1764
Qatar;0;0
Rumania;448;195
Russia (Soviet Union);25418;5002
Rwanda;520602;513940
Saudi Arabia;477;132
Senegal;2154;515
Serbia (Yugoslavia);7267;1768
Sierra Leone;20543;9767
Solomon Islands;45;5
Somalia;43411;6740
South Africa;5056;1008
South Sudan;8644;2648
Spain;400;217
Sri Lanka;65372;10935
Sudan;91739;23775
Swaziland;2;2
Tajikistan;9337;292
Tanzania;61;41
Thailand;4024;2019
Togo;561;498
Trinidad and Tobago;39;0
Tunisia;59;59
Turkey;27276;1986
Uganda;17051;5546
Ukraine;5957;1327
United Arab Emirates;1;0
United Kingdom;329;190
United States of America;3000;2876
Uzbekistan;400;7
Venezuela;924;694
Yemen (North Yemen);18309;2716
Zambia;55;55
Zimbabwe (Rhodesia);293;290
